City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Dakar,SN,14.6937,-17.4441,77.88,88,36,14.05,broken clouds
334,Nishihara,JP,26.1842,127.7558,85.28,83,75,6.67,broken clouds
335,Axim,GH,4.8699,-2.2405,78.64,85,58,5.77,broken clouds
336,Baker City,US,44.7749,-117.8344,65.14,63,90,9.78,broken clouds
337,Huadian,CN,42.9633,126.7478,80.15,56,78,6.31,broken clouds
338,Sakakah,SA,29.9697,40.2064,76.57,20,0,8.12,broken clouds
339,Namibe,AO,-15.1961,12.1522,71.35,45,38,8.48,broken clouds
340,Funehiki,JP,37.4333,140.5833,78.75,34,0,5.68,broken clouds
341,Rexburg,US,43.826,-111.7897,64.99,44,3,9.55,broken clouds
342,Le Port,RE,-20.9373,55.2919,67.96,84,7,7.58,broken clouds
343,Alofi,NU,-19.0595,-169.9187,80.49,78,75,5.75,broken clouds
